tag,b,mu,n,A,r2,z_max,p_max,monotone,p_increases
b020_mu05,0.02,0.5,1.0742047477187127,2074315.0677046787,0.9463693099001966,0.0299990573,40078.750527590084,True,True
b040_mu05,0.04,0.5,1.414590159038701,8148256.533384917,0.9192807359769279,0.0299990573,44800.17599296171,True,True
b060_mu05,0.06,0.5,1.4839715526174864,13894624.644512072,0.93086175715705,0.0299990573,54589.95689752253,True,True
b040_mu08,0.04,0.8,1.1683572638436146,4307074.497476131,0.9454237148718517,0.0299990573,53402.08389724099,True,True
